Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender
CMP1,Timeless Trends Transformation,Paid Ads,2022-11-09,2024-04-25,23448.1,3488.4,2289.9,2461.447,9434.541,Timișoara,35-44,Male
CMP2,Design Your Dream Space,Paid Ads,2022-12-27,2024-05-12,34902.7,3513.9,3362.6,7558.761,18383.409,Timișoara,35-44,Male
CMP3,Style Your Home Story,Email,2022-11-03,2024-04-07,13545.6,7962.8,7792.8,3568.351,5198.192,Bucharest,55+,Female
CMP4,Comfort & Chic Challenge,Email,2022-11-29,2024-04-26,42709.1,22472.3,3221.5,4703.662,17582.828,Bucharest,25-34,Male
CMP5,Timeless Trends Transformation,Email,2023-06-12,2024-11-04,4282.3,2981.8,2716.6,2477.512,3759.363,Bucharest,55+,Male
CMP6,Timeless Trends Transformation,Paid Ads,2023-04-12,2024-09-17,81181.8,44140.5,32957.9,180.064,594.83,Cluj-Napoca,55+,Male
CMP7,Sustainable Living Showcase,Social Media,2022-11-08,2024-03-26,25119.2,22273.4,21357.1,7969.838,10752.279,Cluj-Napoca,55+,Male
CMP8,Timeless Trends Transformation,Paid Ads,2022-08-26,2024-01-20,63716,61132,54267.4,8099.31,17655.367,Brașov,18-24,Male
CMP9,Design Your Dream Space,Social Media,2023-04-26,2024-10-04,19789.7,12127.8,7752,2938.484,10036.97,Bucharest,25-34,Female
CMP10,Furniture Refresh Revolution,Influencer Marketing,2022-08-26,2024-01-26,71882.8,9341.5,312.8,1072.054,3350.581,Brașov,55+,Female
CMP11,Sustainable Living Showcase,Paid Ads,2023-01-06,2024-05-23,18819,17486.2,12935.3,8229.632,30763.625,Bucharest,45-54,Male
CMP12,Style Your Home Story,Paid Ads,2022-08-19,2024-01-15,72404.7,55221.1,49905.2,2964.409,8250.406,Cluj-Napoca,18-24,Male
CMP13,Design Your Dream Space,Paid Ads,2023-05-26,2024-11-05,33794.3,2278,958.8,2162.468,6757.993,Timișoara,45-54,Male
CMP14,Timeless Trends Transformation,Paid Ads,2023-04-16,2024-09-23,20522.4,19551.7,18045.5,2382.499,8903.988,Timișoara,45-54,Female
CMP15,Sustainable Living Showcase,Social Media,2022-11-30,2024-04-21,20921.9,14927.7,5106.8,2228.003,6342.768,Bucharest,55+,Male
CMP16,Style Your Home Story,Paid Ads,2023-03-22,2024-08-22,7600.7,4632.5,22.1,5425.822,9261.923,Timișoara,55+,Male
CMP17,Furniture Refresh Revolution,Influencer Marketing,2022-09-26,2024-03-09,84309.8,43057.6,38882.4,3858.507,11768.879,Cluj-Napoca,45-54,Female
CMP18,Furniture Refresh Revolution,Influencer Marketing,2023-02-02,2024-07-13,51843.2,32402,3801.2,6893.806,20833.449,Bucharest,18-24,Female
CMP19,Comfort & Chic Challenge,Social Media,2022-11-28,2024-04-23,55901.1,15538,2731.9,4812.394,19236.265,Timișoara,55+,Male
CMP20,Comfort & Chic Challenge,Social Media,2023-03-07,2024-07-28,75694.2,18422.9,2378.3,6580.377,17737.528,Bucharest,55+,Female
CMP21,Design Your Dream Space,Social Media,2023-03-08,2024-08-18,66702.9,11456.3,4018.8,611.864,1478.915,Brașov,18-24,Male
CMP22,Style Your Home Story,Influencer Marketing,2023-03-29,2024-08-22,59799.2,22516.5,20102.5,6525.127,25116.225,Timișoara,45-54,Female
CMP23,Comfort & Chic Challenge,Email,2023-02-04,2024-06-25,48266.4,21460.8,812.6,291.159,990.318,Brașov,45-54,Male
CMP24,Style Your Home Story,Email,2023-04-30,2024-09-20,23584.1,21692,16371,3340.568,12016.603,Timișoara,45-54,Male
CMP25,Design Your Dream Space,Paid Ads,2023-05-30,2024-11-07,57682.7,35905.7,20233.4,3956.682,14936.421,Iași,25-34,Male
CMP26,Design Your Dream Space,Email,2022-10-15,2024-03-07,59081.8,7891.4,2330.7,7434.032,15561.766,Bucharest,18-24,Female
CMP27,Design Your Dream Space,Social Media,2023-06-09,2024-10-28,77588,75412,72608.7,2232.797,4005.285,Bucharest,35-44,Female
CMP28,Furniture Refresh Revolution,Influencer Marketing,2023-04-04,2024-08-30,42576.5,5594.7,3342.2,1972.969,2968.319,Brașov,18-24,Male
CMP29,Style Your Home Story,Email,2022-10-24,2024-03-21,84218,30980.8,18190,7417.253,18373.906,Cluj-Napoca,45-54,Female
CMP30,Comfort & Chic Challenge,Social Media,2022-09-18,2024-02-16,62310.1,48864.8,39458.7,3703.246,10872.197,Timișoara,35-44,Male
CMP31,Design Your Dream Space,Influencer Marketing,2023-05-18,2024-10-22,34265.2,23827.2,6206.7,4697.236,10257.681,Iași,25-34,Male
CMP32,Furniture Refresh Revolution,Email,2023-03-17,2024-08-07,45498.8,36799.9,35324.3,4339.76,16176.911,Bucharest,35-44,Male
